date_taken,key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,hospital_beds
10/1/20,AD,,33.5,7.7,2.7,,,,
10/1/20,AE,77.814,28.9,16.3,6.5,69.555,44.863,54.7,
10/1/20,AF,64.486,,9.2,47.9,237.554,192.532,211.1,0.5
10/1/20,AG,76.885,,13.1,5,126.917,83.136,29.9,
10/1/20,AL,78.9,28.7,9,7.8,93.315,49.486,68,
10/1/20,AM,74.945,24.1,6.1,11,173.428,65.595,54.8,4.2
10/1/20,AO,60.782,,4.5,51.6,327.044,220.291,118.5,
10/1/20,AR,76.52,21.8,5.9,8.8,147.086,79.483,26.6,
10/1/20,AT,81.8,29.6,6.6,2.9,79.032,41.779,15.3,
10/1/20,AU,82.74878,14.7,5.6,3.1,75.835,44.673,8.4,
10/1/20,AW,76.152,,11.6,,110.63,68.514,,
10/1/20,AZ,72.864,20.8,6.1,19.2,149.499,89.073,63.9,
10/1/20,BA,77.262,38.9,9,5,115.278,59.775,79.8,
10/1/20,BB,79.081,7.8,13.4,11.3,129.531,91.939,31.1,
10/1/20,BD,72.32,23,9.2,25.1,151.411,114.505,149,0.8
10/1/20,,81.7,28.2,4.6,2.9,80.262,49.245,15.7,
10/1/20,BE_BRU,81.5,,,,,,,
10/1/20,BE_VAN,82.5,,,,,,,
10/1/20,BE_VLG,83,,,,,,,
10/1/20,BE_VLI,83.1,,,,,,,
10/1/20,BE_VOV,82.3,,,,,,,
10/1/20,BE_VWV,82.6,,,,,,,
10/1/20,BE_WBR,82.7,,,,,,,
10/1/20,BE_WHT,79.1,,,,,,,
10/1/20,BE_WLG,80,,,,,,,
10/1/20,BE_WLX,80.6,,,,,,,
10/1/20,BE_WNA,79.9,,,,,,,
10/1/20,BF,61.174,12.5,7.3,49,260.379,228.16,206.2,
10/1/20,BG,75,37,6,5.9,183.956,86.496,61.8,
10/1/20,BH,77.163,26.4,15.6,6.1,72.073,56.217,40.1,
10/1/20,BI,61.247,,5.1,41,310.651,253.135,179.9,
10/1/20,BJ,61.47,6.4,1,60.5,258.647,211.008,205,
10/1/20,BM,81.651707,,6.7,,,,,
10/1/20,BN,75.722,16.9,13.3,9.8,143.719,98.803,13.3,2.7
10/1/20,BO,71.239,,6.8,21.8,219.194,138.315,63.7,
10/1/20,BR,75.672,13.9,10.4,12.8,188.528,91.421,29.9,
10/1/20,BS,73.752,11.5,8.8,8.3,193.627,116.813,19.9,
10/1/20,BT,71.46,,10.3,24.8,197.28,194.721,124.5,
10/1/20,BW,69.275,20,5.8,30,249.384,161.962,101.3,
10/1/20,BY,74.17561,26.7,5,2.6,234.903,82.559,60.7,
10/1/20,BZ,74.496,,17.1,11.2,213.827,117.655,68.6,
10/1/20,CA,81.94878,14.3,7.6,4.3,82.625,51.763,7,
10/1/20,CD,60.368,,6,68.2,273.573,224.637,163.9,
10/1/20,CF,52.805,,6,84.5,452.968,371.323,211.9,
10/1/20,CG,64.29,26.9,6,36.2,279.572,240.201,130.7,
10/1/20,CH,83.8,25.7,5.7,3.7,58.204,35.896,10.1,
10/1/20,CH_AG,83.9,,,,,,,
10/1/20,MX,74.992,14,13.5,11,184.379,95.815,36.7,1.5
10/1/20,MY,75.997,21.5,16.7,6.7,160.383,84.296,47.4,1.9
10/1/20,MZ,60.163,16.6,3.3,54,389.521,268.188,110,
10/1/20,NA,63.373,21.4,4.5,29,349.317,248.938,145,
10/1/20,NC,77.14878,,21.8,,98.003,56.743,,
10/1/20,NE,62.024,7.7,2.4,48,251.729,222.743,251.8,0.3
10/1/20,NG,54.332,5.8,3.1,75.7,364.321,324.961,307.4,
10/1/20,NI,74.275,,11.4,15.7,200.678,102.575,55.7,
10/1/20,MOO_COW,81.9,25.8,5.4,3.3,65.56,51.048,13.7,
10/1/20,NP,70.478,22.8,7.2,26.7,167.316,129.611,193.8,
10/1/20,NR,,40,12,26.4,,,,
10/1/20,NZ,81.858537,16,6.2,4.7,,,7.2,
10/1/20,OM,77.633,11.1,10.1,9.8,101.388,63.183,53.9,
10/1/20,PA,78.329,6.1,7.7,13.1,148.159,76.653,25.8,
10/1/20,PE,76.516,4.8,6.6,11.1,146.37,84.815,63.9,
10/1/20,PF,77.462,,19.5,,112.857,66.154,,
10/1/20,PG,64.263,36.3,17.9,38,251.144,187.7,152,
10/1/20,PH,71.095,24.3,7.1,22.5,235.071,130.91,185.2,
10/1/20,PK,67.114,20.1,19.9,57.2,172.896,137.509,173.6,
10/1/20,PL,77.7,28,6.1,3.8,160.653,61.842,37.9,
10/1/20,PR,79.778195,,13.7,,146.208,63.033,,
10/1/20,PS,73.895,,9.5,17.3,126.513,92.308,,
10/1/20,PT,81.5,22.7,9.8,3.1,103.994,42.442,9.8,
10/1/20,PT_11,82,,,,,,,
10/1/20,PT_15,80.3,,,,,,,
10/1/20,PT_16,81.8,,,,,,,
10/1/20,PT_17,81.7,,,,,,,
10/1/20,PT_18,80.8,,,,,,,
